transactionID,carrierID,customerID,amount,date
1,1,317,16.02,2007-12-03 08:18:22
2,1,31,5.19,2005-12-02 21:41:55
3,3,884,16.78,2006-10-10 10:45:06
4,2,342,19.17,2006-04-20 07:09:32
5,1,503,13.04,2009-01-07 09:49:47
6,3,13,8.59,2006-12-04 13:33:25
7,2,876,8.6,2005-03-04 06:37:28
8,1,376,17.0,2007-06-06 20:13:38
9,1,621,7.71,2009-09-13 11:56:20
10,1,299,16.62,2005-04-02 21:40:04
11,3,985,17.48,2007-07-01 17:50:01
12,1,765,8.8,2005-08-24 14:37:14
13,1,494,7.6,2007-01-29 00:15:52
14,1,683,11.26,2007-09-22 09:08:04
15,3,991,19.45,2008-05-12 19:50:21
16,1,889,9.41,2005-04-30 19:41:02
17,2,793,7.37,2008-01-03 23:16:52
18,2,720,18.25,2006-02-05 13:39:25
19,2,415,14.22,2006-11-13 22:51:41
20,2,631,6.89,2007-02-12 09:26:21
21,3,36,9.06,2008-08-20 10:06:11
22,1,35,12.99,2007-10-19 05:23:28
23,1,650,7.42,2007-05-26 17:41:53
24,3,186,10.19,2009-06-01 14:50:50
25,3,895,5.29,2008-05-24 22:54:42
26,3,414,16.31,2008-06-13 06:28:26
27,2,68,8.43,2009-06-02 19:14:43
28,2,83,7.13,2008-03-07 11:38:31
29,2,730,14.25,2007-01-04 02:38:07
30,2,890,12.58,2008-07-30 21:34:14
31,2,41,18.29,2005-01-24 22:46:57
32,1,175,9.54,2006-03-08 14:39:44
33,2,45,9.27,2007-08-28 13:24:49
34,3,87,5.39,2006-07-09 01:46:52
35,1,251,10.39,2009-11-28 01:36:55
36,3,170,19.01,2006-09-06 07:37:45
37,1,711,8.53,2006-03-25 08:21:34
38,1,275,14.06,2009-07-01 03:14:02
39,1,290,19.97,2005-10-25 05:51:56
40,1,328,18.97,2009-09-23 05:15:21
41,3,920,13.93,2008-08-04 07:06:06
42,3,380,18.2,2009-11-24 20:28:13
43,1,396,9.95,2009-03-30 07:40:37
44,1,158,6.34,2005-05-19 16:49:49
45,1,151,15.1,2006-11-06 16:51:25
46,1,222,18.13,2009-07-02 13:49:30
47,2,582,12.77,2007-11-06 13:32:28
48,1,847,6.66,2006-07-17 07:04:57
49,3,288,16.71,2007-03-16 17:54:15
50,3,583,11.39,2005-07-10 05:19:49
51,3,563,9.75,2009-09-27 03:25:56
52,2,724,9.67,2005-10-04 06:37:34
53,1,252,17.55,2008-03-05 15:32:43
54,3,462,9.47,2007-09-18 13:43:16
55,3,292,12.33,2005-04-02 05:21:22
56,3,902,15.04,2008-01-30 11:12:46
57,3,483,6.04,2007-02-07 07:16:21
58,2,28,15.17,2008-07-03 03:04:34
59,3,121,9.23,2008-09-19 21:47:56
60,3,600,18.71,2007-05-24 00:23:18
61,1,341,15.99,2008-08-20 09:21:47
62,2,561,14.88,2006-01-04 06:24:55
63,1,323,11.87,2005-03-14 16:37:39
64,1,751,15.35,2007-12-15 17:11:42
65,3,746,19.2,2009-04-10 05:01:41
66,1,208,15.35,2009-07-24 07:27:47
67,3,36,11.8,2008-10-08 18:37:54
68,1,150,18.85,2007-11-01 11:54:52
69,3,156,8.05,2008-05-20 23:40:36
70,1,459,10.97,2008-03-31 01:40:05
71,3,577,11.93,2009-12-18 18:46:27
72,2,186,17.25,2005-07-03 20:23:21
73,3,815,8.57,2009-11-23 10:37:06
74,1,496,5.96,2006-07-05 20:54:04
75,3,68,11.75,2007-07-06 12:20:39
76,3,153,5.46,2008-04-05 19:32:59
77,2,914,5.51,2009-02-03 18:39:17
78,2,333,13.47,2007-04-20 06:24:15
79,1,698,11.62,2007-08-26 07:26:19
80,3,158,13.33,2005-07-06 15:36:23
81,3,362,7.07,2006-11-02 11:36:31
82,2,478,8.41,2009-12-02 10:41:32
83,3,25,12.89,2006-09-27 12:09:52
84,3,552,7.02,2009-12-17 16:21:27
85,1,959,18.91,2006-09-27 02:39:28
86,1,372,10.63,2008-01-10 06:10:56
87,3,295,8.87,2008-07-09 00:13:40
88,3,908,12.49,2006-10-13 06:25:08
89,3,807,13.7,2005-10-01 13:25:22
90,2,74,11.17,2005-03-23 13:17:54
91,3,220,12.04,2005-01-15 11:15:05
92,3,143,17.78,2008-08-14 06:52:59
93,1,509,7.74,2007-04-29 22:40:40
94,2,410,6.52,2005-12-17 17:46:27
95,2,15,6.62,2005-09-19 03:58:25
96,2,109,11.8,2006-01-06 10:50:05
97,2,509,10.61,2009-01-30 22:23:42
98,1,290,13.02,2008-01-01 00:17:31
99,1,497,11.03,2005-12-06 01:48:29
100,2,825,5.08,2005-08-26 00:14:52
101,1,15,5.51,2006-09-28 09:08:40
